County,AD,ED,Name,Votes
New York,AD65,ED27,ANTHONY TONY HERBERT,1
New York,AD65,ED27,HELAL A. SHEIKH,0
New York,AD65,ED27,WRITE-IN,0
New York,AD65,ED28,MELISSA MARK-VIVERITO,0
New York,AD65,ED28,MICHAEL A. BLAKE,0
New York,AD65,ED28,DAWN L. SMALLS,0
New York,AD65,ED28,ERIC A. ULRICH,0
New York,AD65,ED28,YDANIS RODRIGUEZ,0
New York,AD65,ED28,DANIEL J. O'DONNELL,0
New York,AD65,ED28,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED28,LATRICE M. WALKER,0
New York,AD65,ED28,JUMAANE D. WILLIAMS,0
New York,AD65,ED28,RON KIM,0
New York,AD65,ED28,BENJAMIN L. YEE,0
New York,AD65,ED28,A. MANNY ALICANDRO,0
New York,AD65,ED28,NOMIKI D. KONST,0
New York,AD65,ED28,DAVID EISENBACH,0
New York,AD65,ED28,JARED RICH,0
New York,AD65,ED28,ANTHONY TONY HERBERT,0
New York,AD65,ED28,HELAL A. SHEIKH,0
New York,AD65,ED28,WRITE-IN,0
New York,AD65,ED29,MELISSA MARK-VIVERITO,0
New York,AD65,ED29,MICHAEL A. BLAKE,0
New York,AD65,ED29,DAWN L. SMALLS,0
New York,AD65,ED29,ERIC A. ULRICH,0
New York,AD65,ED29,YDANIS RODRIGUEZ,0
New York,AD65,ED29,DANIEL J. O'DONNELL,0
New York,AD65,ED29,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED29,LATRICE M. WALKER,0
New York,AD65,ED29,JUMAANE D. WILLIAMS,0
New York,AD65,ED29,RON KIM,0
New York,AD65,ED29,BENJAMIN L. YEE,0
New York,AD65,ED29,A. MANNY ALICANDRO,0
New York,AD65,ED29,NOMIKI D. KONST,0
New York,AD65,ED29,DAVID EISENBACH,0
New York,AD65,ED29,JARED RICH,0
New York,AD65,ED29,ANTHONY TONY HERBERT,0
New York,AD65,ED29,HELAL A. SHEIKH,0
New York,AD65,ED29,WRITE-IN,0
New York,AD65,ED30,MELISSA MARK-VIVERITO,9
New York,AD65,ED30,MICHAEL A. BLAKE,2
New York,AD65,ED30,DAWN L. SMALLS,2
New York,AD65,ED30,ERIC A. ULRICH,8
New York,AD65,ED30,YDANIS RODRIGUEZ,1
New York,AD65,ED30,DANIEL J. O'DONNELL,1
New York,AD65,ED30,RAFAEL L. ESPINAL JR.,2
New York,AD65,ED30,LATRICE M. WALKER,0
New York,AD65,ED30,JUMAANE D. WILLIAMS,25
New York,AD65,ED30,RON KIM,27
New York,AD65,ED30,BENJAMIN L. YEE,94
New York,AD65,ED30,A. MANNY ALICANDRO,2
New York,AD65,ED30,NOMIKI D. KONST,1
New York,AD65,ED30,DAVID EISENBACH,6
New York,AD65,ED30,JARED RICH,0
New York,AD65,ED30,ANTHONY TONY HERBERT,0
New York,AD65,ED30,HELAL A. SHEIKH,0
New York,AD65,ED30,WRITE-IN,1
New York,AD65,ED31,MELISSA MARK-VIVERITO,0
