CD,elect_dist,AD,ED
CD37,55037,AD55,ED37
CD37,55038,AD55,ED38
CD37,55039,AD55,ED39
CD37,55040,AD55,ED40
CD37,55041,AD55,ED41
CD37,55042,AD55,ED42
CD37,55043,AD55,ED43
CD37,55044,AD55,ED44
CD37,55045,AD55,ED45
CD37,55046,AD55,ED46
CD37,55047,AD55,ED47
CD37,55048,AD55,ED48
CD37,55049,AD55,ED49
CD37,55050,AD55,ED50
CD37,55051,AD55,ED51
CD37,55054,AD55,ED54
CD37,55055,AD55,ED55
CD37,55111,AD55,ED111
CD37,55113,AD55,ED113
CD37,60011,AD60,ED11
CD37,60023,AD60,ED23
CD42,23066,AD23,ED66
CD42,23067,AD23,ED67
CD42,38052,AD38,ED52
CD42,38054,AD38,ED54
CD42,38063,AD38,ED63
CD42,23060,AD23,ED60
CD42,23084,AD23,ED84
CD42,38027,AD38,ED27
CD42,38029,AD38,ED29
CD42,23043,AD23,ED43
CD42,23044,AD23,ED44
CD42,23045,AD23,ED45
CD42,23046,AD23,ED46
CD42,23047,AD23,ED47
CD42,23048,AD23,ED48
CD42,23049,AD23,ED49
CD42,23050,AD23,ED50
CD42,23051,AD23,ED51
CD42,23052,AD23,ED52
CD42,23053,AD23,ED53
CD42,23054,AD23,ED54
CD42,23056,AD23,ED56
CD42,23057,AD23,ED57
CD42,23058,AD23,ED58
CD42,23059,AD23,ED59
CD42,23061,AD23,ED61
CD42,23062,AD23,ED62
CD42,23063,AD23,ED63
CD42,23064,AD23,ED64
CD42,23068,AD23,ED68
CD42,23070,AD23,ED70
CD42,23089,AD23,ED89
CD42,23091,AD23,ED91
CD42,23093,AD23,ED93
CD42,28001,AD28,ED1
CD42,28002,AD28,ED2
CD42,28003,AD28,ED3
CD42,28004,AD28,ED4
CD42,28009,AD28,ED9
CD42,28013,AD28,ED13
CD42,31001,AD31,ED1
CD42,31008,AD31,ED8
CD42,31023,AD31,ED23
CD42,31026,AD31,ED26
CD42,31027,AD31,ED27
CD42,31028,AD31,ED28
CD42,31066,AD31,ED66
CD42,31080,AD31,ED80
CD42,38030,AD38,ED30
CD42,38031,AD38,ED31
CD42,38032,AD38,ED32
CD42,38033,AD38,ED33
CD42,38034,AD38,ED34
CD42,38035,AD38,ED35
CD42,38036,AD38,ED36
CD42,38037,AD38,ED37
CD42,38044,AD38,ED44
CD42,38046,AD38,ED46
CD42,38047,AD38,ED47
CD42,38048,AD38,ED48
CD42,38049,AD38,ED49
CD42,38050,AD38,ED50
CD42,38051,AD38,ED51
CD42,38055,AD38,ED55
CD42,38056,AD38,ED56
CD42,38057,AD38,ED57
CD42,38058,AD38,ED58
CD42,38059,AD38,ED59
CD42,38071,AD38,ED71
CD42,23090,AD23,ED90
CD42,23055,AD23,ED55
CD42,23069,AD23,ED69
CD42,23065,AD23,ED65
CD42,23077,AD23,ED77
CD42,23078,AD23,ED78
CD42,23079,AD23,ED79
CD42,23002,AD23,ED2
CD42,23004,AD23,ED4
CD42,23005,AD23,ED5
CD42,23006,AD23,ED6
CD42,23007,AD23,ED7
CD42,23008,AD23,ED8
CD42,23009,AD23,ED9
CD42,23014,AD23,ED14
CD42,23015,AD23,ED15
CD42,23016,AD23,ED16
CD42,23017,AD23,ED17
CD42,23018,AD23,ED18
CD42,23019,AD23,ED19
CD42,23041,AD23,ED41
CD42,23085,AD23,ED85
CD42,23086,AD23,ED86
CD42,23087,AD23,ED87
CD42,31030,AD31,ED30
CD42,31071,AD31,ED71
CD42,23040,AD23,ED40
CD42,23003,AD23,ED3
CD42,23013,AD23,ED13
CD42,23001,AD23,ED1
CD42,23020,AD23,ED20
CD42,31031,AD31,ED31
CD42,23012,AD23,ED12
CD42,23010,AD23,ED10
CD42,23011,AD23,ED11
CD42,23092,AD23,ED92
CD42,23080,AD23,ED80
